name,address,site_url,has_bomboniere,has_sessions,id
Kinoplex Shopping Boulevard RJ,"R. Barao de Sao Francisco, 236 - Vila Isabel",https://www.ingresso.com/cinema/kinoplex-shopping-boulevard-rj?city=rio-de-janeiro&partnership=home,true,true,029713c4-cb8e-4b7a-aad4-cc62c19feed7
Cinesystem Belas Artes Botafogo,"Praia de Botafogo, 316 - Botafogo",https://www.ingresso.com/cinema/cinesystem-belas-artes-botafogo?city=rio-de-janeiro&partnership=home,true,true,0e181563-8258-4f26-ad68-7e54e2a1f352
Cinemark Botafogo,"Praia de Botafogo, 400 - Botafogo",https://www.ingresso.com/cinema/cinemark-botafogo?city=rio-de-janeiro&partnership=home,true,true,0e601f14-6e5d-44d7-8552-7bfb3e72cfba
Kinoplex Shopping Leblon,"Av. Afrânio de Melo Franco, 290 - Leblon",https://www.ingresso.com/cinema/kinoplex-shopping-leblon?city=rio-de-janeiro&partnership=home,true,true,10291482-491e-4135-a56f-358d3dc54149
Kinoplex Fashion Mall,"Estrada da Gávea, 899 - São Conrado",https://www.ingresso.com/cinema/kinoplex-fashion-mall?city=rio-de-janeiro&partnership=home,true,true,1288b206-ad2d-4075-845c-a416485adb76
UCI Park Campo Grande,"Estrada do Monteiro, 1200 - Campo Grande",https://www.ingresso.com/cinema/uci-park-campo-grande?city=rio-de-janeiro&partnership=home,true,true,1422e181-0162-47a4-ba8d-7c9ca091d23c
CineCarioca José Wilker,"RUA DAS LARANEJIRAS, 307 - Laranjeiras",https://www.ingresso.com/cinema/cinecarioca-jose-wilker?city=rio-de-janeiro&partnership=home,false,true,1a6b03a9-28bc-461c-8717-ba6013ae95d6
Kinoplex RioSul,"Av. Lauro Sodré, 445 - Botafogo",https://www.ingresso.com/cinema/kinoplex-riosul?city=rio-de-janeiro&partnership=home,true,true,1c11fadd-52e5-4ded-b3a2-b8e27612979e
Cine Araújo Jardim Guadalupe,"AV BRASIL, 22155 - Guadalupe",https://www.ingresso.com/cinema/cine-araujo-jardim-guadalupe?city=rio-de-janeiro&partnership=home,true,true,25be1ecf-9702-4ecc-89ca-bb3e53de23b6
UCI Park Jacarepagua,"Estrada de Jacarepagua, 6069 - Jacarepaguá",https://www.ingresso.com/cinema/uci-park-jacarepagua?city=rio-de-janeiro&partnership=home,true,true,276f7d99-95ea-4011-af7c-ba2ac1ae6680
Kinoplex Via Parque,"Avenida Ayrton Senna, 3000 - Barra da Tijuca",https://www.ingresso.com/cinema/kinoplex-via-parque?city=rio-de-janeiro&partnership=home,true,true,2a42950a-1d42-4f18-9b66-180a35d6ce61
Cinépolis Rio Design Barra,"Avenida das Américas, 7777 - Barra da Tijuca",https://www.ingresso.com/cinema/cinepolis-rio-design-barra?city=rio-de-janeiro&partnership=home,false,true,2ec8d42c-f47c-4209-b336-b95a2cc1c8f5
Kinoplex Leblon (rua),"Avenida Ataulfo de Paiva, 391 - Leblon",https://www.ingresso.com/cinema/kinoplex-leblon-rua?city=rio-de-janeiro&partnership=home,true,true,32d9b788-5250-4eb8-b08a-5bbffc329f10
CineCarioca Méier,"Rua Dias da Cruz, 170 - Méier",https://www.ingresso.com/cinema/cinecarioca-meier?city=rio-de-janeiro&partnership=home,true,true,377c0d59-2510-417c-9fa7-99556bd00520
Ponto Cine,"Estrada do Camboatá , 2300 - Guadalupe",https://www.ingresso.com/cinema/ponto-cine?city=rio-de-janeiro&partnership=home,false,true,3cc1c736-a454-4c1a-a2eb-00b91ec81516
Kinoplex West Shopping,"Estrada do Mendanha, 550 - Campo Grande",https://www.ingresso.com/cinema/kinoplex-west-shopping?city=rio-de-janeiro&partnership=home,true,true,425b8856-8c19-4e86-8eed-238f3551ad2c
Cinemark Downtown,"Av. das Américas, 500 - Barra da Tijuca",https://www.ingresso.com/cinema/cinemark-downtown?city=rio-de-janeiro&partnership=home,true,true,48772602-5313-49aa-9e53-5c735dfe1835
Cinesystem Bangu - Rio de Janeiro,"R. Fonseca, 240 - Bangu",https://www.ingresso.com/cinema/cinesystem-bangu-rio-de-janeiro?city=rio-de-janeiro&partnership=home,true,true,4aae7baf-eed3-466e-b3da-0cbf411f8f45
Cinemark Carioca Shopping,"Estrada Vicente de Carvalho, 909 - Vila Kosmos",https://www.ingresso.com/cinema/cinemark-carioca-shopping?city=rio-de-janeiro&partnership=home,true,true,5633c4bc-7b54-47e8-ba97-ec6c6a11bee2
Cinesystem Américas,"Av. das Américas, 15500 - Recreio",https://www.ingresso.com/cinema/cinesystem-americas?city=rio-de-janeiro&partnership=home,true,true,565567ff-dd7c-4713-a3db-c792d97b9177
